question,answer,augmentation_type
"Students from Cohort AY2020-21 and before read only 5 GE courses, but the GE curriculum is different for me. Why?","Students admitted from AY2021/22 onwards (except Law, Medicine, Dentistry) follow a new GE curriculum with six pillars. You must take one course per pillar. Some programs (USP, UTCP, RVRC) may already cover some pillars, and remaining pillars must be fulfilled via GE courses.",original
"Could you please tell me students from cohort ay2020-21 and before read only 5 ge courses, but the ge curriculum is different for me. why?","Students admitted from AY2021/22 onwards (except Law, Medicine, Dentistry) follow a new GE curriculum with six pillars. You must take one course per pillar. Some programs (USP, UTCP, RVRC) may already cover some pillars, and remaining pillars must be fulfilled via GE courses.",context_variation
"Students from Cohort AY2020-21 and before read only 5 GE courses, but the GE curriculum is different for me. Why for my application?","Students admitted from AY2021/22 onwards (except Law, Medicine, Dentistry) follow a new GE curriculum with six pillars. You must take one course per pillar. Some programs (USP, UTCP, RVRC) may already cover some pillars, and remaining pillars must be fulfilled via GE courses.",context_variation
"I would like to know students from cohort ay2020-21 and before read only 5 ge courses, but the ge curriculum is different for me. why?","Students admitted from AY2021/22 onwards (except Law, Medicine, Dentistry) follow a new GE curriculum with six pillars. You must take one course per pillar. Some programs (USP, UTCP, RVRC) may already cover some pillars, and remaining pillars must be fulfilled via GE courses.",context_variation
"Do I need to read 24 Units of GE courses every year, or is the 24 Units requirement for the entire programme?","You need to read 24 Units of GE courses **throughout your entire programme**, not every year.",original
"Is to read 24 Units of GE courses every year, or is the 24 Units requirement for the entire programme required?","You need to read 24 Units of GE courses **throughout your entire programme**, not every year.",reformulation
"I'm wondering do i need to read 24 units of ge courses every year, or is the 24 units requirement for the entire programme?","You need to read 24 Units of GE courses **throughout your entire programme**, not every year.",context_variation
"Must I have to read 24 Units of GE courses every year, or is the 24 Units requirement for the entire programme?","You need to read 24 Units of GE courses **throughout your entire programme**, not every year.",reformulation
I am confused by the different GE course prefixes. What are the differences?,"Prefix codes: GEH, GEQ, GER, GES, GET were for cohorts before AY2021/22. For AY2021/22 onward: GEA (Data Literacy), GEI (Digital Literacy), GEX (Critique & Expression), GEC (Cultures & Connections), GESS (Singapore Studies), GEN (Communities & Engagement). Up to 8 units may double-count with your Major/Minor subject to rules.",original
I am confused by the different GE course prefixes. What are the differences before I apply?,"Prefix codes: GEH, GEQ, GER, GES, GET were for cohorts before AY2021/22. For AY2021/22 onward: GEA (Data Literacy), GEI (Digital Literacy), GEX (Critique & Expression), GEC (Cultures & Connections), GESS (Singapore Studies), GEN (Communities & Engagement). Up to 8 units may double-count with your Major/Minor subject to rules.",context_variation
I am confused by the different GE course prefixes. What are the differences as a prospective student?,"Prefix codes: GEH, GEQ, GER, GES, GET were for cohorts before AY2021/22. For AY2021/22 onward: GEA (Data Literacy), GEI (Digital Literacy), GEX (Critique & Expression), GEC (Cultures & Connections), GESS (Singapore Studies), GEN (Communities & Engagement). Up to 8 units may double-count with your Major/Minor subject to rules.",context_variation
I would like to know i am confused by the different ge course prefixes. what are the differences?,"Prefix codes: GEH, GEQ, GER, GES, GET were for cohorts before AY2021/22. For AY2021/22 onward: GEA (Data Literacy), GEI (Digital Literacy), GEX (Critique & Expression), GEC (Cultures & Connections), GESS (Singapore Studies), GEN (Communities & Engagement). Up to 8 units may double-count with your Major/Minor subject to rules.",context_variation
I am a polytechnic diploma holder – which GE course am I granted Advanced Placement Credits (APCs) for?,"If you are granted APCs for a course that satisfies a GE pillar, you will be exempted from that GE pillar.",original
Could you please tell me i am a polytechnic diploma holder – which ge course am i granted advanced placement credits (apcs) for?,"If you are granted APCs for a course that satisfies a GE pillar, you will be exempted from that GE pillar.",context_variation
I am a polytechnic diploma holder – which GE course am I granted Advanced Placement Credits (APCs) for as a prospective student?,"If you are granted APCs for a course that satisfies a GE pillar, you will be exempted from that GE pillar.",context_variation
I would like to know i am a polytechnic diploma holder – which ge course am i granted advanced placement credits (apcs) for?,"If you are granted APCs for a course that satisfies a GE pillar, you will be exempted from that GE pillar.",context_variation
I want to take courses abroad during exchange. Can they count as GE courses?,"If your exchange university courses map to GE pillars and get approved, they count. Submit mapping requests in EduRec before exchange. After return, request credit transfer.",original
Could you please tell me i want to take courses abroad during exchange. can they count as ge courses?,"If your exchange university courses map to GE pillars and get approved, they count. Submit mapping requests in EduRec before exchange. After return, request credit transfer.",context_variation
I'm wondering i want to take courses abroad during exchange. can they count as ge courses?,"If your exchange university courses map to GE pillars and get approved, they count. Submit mapping requests in EduRec before exchange. After return, request credit transfer.",context_variation
Can you help me understand i want to take courses abroad during exchange. can they count as ge courses?,"If your exchange university courses map to GE pillars and get approved, they count. Submit mapping requests in EduRec before exchange. After return, request credit transfer.",context_variation
How do I register for GE courses?,"Register GE courses via EduRec’s Course Registration (CourseReg). Do not use GEH, GEQ, GER, GES, GET prefixes for AY2021/22+ cohorts to fulfill GE requirements. Also ensure you don’t exceed the limit on Level-1000 courses.",original
I'm wondering how do i register for ge courses?,"Register GE courses via EduRec’s Course Registration (CourseReg). Do not use GEH, GEQ, GER, GES, GET prefixes for AY2021/22+ cohorts to fulfill GE requirements. Also ensure you don’t exceed the limit on Level-1000 courses.",context_variation
Can you help me understand how do i register for ge courses?,"Register GE courses via EduRec’s Course Registration (CourseReg). Do not use GEH, GEQ, GER, GES, GET prefixes for AY2021/22+ cohorts to fulfill GE requirements. Also ensure you don’t exceed the limit on Level-1000 courses.",context_variation
What are the steps to register for GE courses?,"Register GE courses via EduRec’s Course Registration (CourseReg). Do not use GEH, GEQ, GER, GES, GET prefixes for AY2021/22+ cohorts to fulfill GE requirements. Also ensure you don’t exceed the limit on Level-1000 courses.",reformulation
I didn’t get the GE course I wanted this semester. Are GE courses offered every semester?,"Not necessarily. Some GE courses are only in Semester 1, others only in Semester 2.",original
I didn’t get the GE course I wanted this semester. Are GE courses offered every semester for my application?,"Not necessarily. Some GE courses are only in Semester 1, others only in Semester 2.",context_variation
I didn’t get the GE course I wanted this semester. Are GE courses offered every semester for planning purposes?,"Not necessarily. Some GE courses are only in Semester 1, others only in Semester 2.",context_variation
Where can I find timetables for GE courses?,"Use **NUSMods** to check class schedules, tutorial times, and exam time-tables.",original
I would like to know where can i find timetables for ge courses?,"Use **NUSMods** to check class schedules, tutorial times, and exam time-tables.",context_variation
Can you help me understand where can i find timetables for ge courses?,"Use **NUSMods** to check class schedules, tutorial times, and exam time-tables.",context_variation
What's the location to find timetables for GE courses?,"Use **NUSMods** to check class schedules, tutorial times, and exam time-tables.",reformulation
What is the maximum number of Units I can take in a semester?,That depends on your faculty. Contact your Faculty Dean’s Office for the cap for your programme.,original
I would like to know what is the maximum number of units i can take in a semester?,That depends on your faculty. Contact your Faculty Dean’s Office for the cap for your programme.,context_variation
Can you help me understand what is the maximum number of units i can take in a semester?,That depends on your faculty. Contact your Faculty Dean’s Office for the cap for your programme.,context_variation
How do I know if my GE course has tutorials?,Check NUSMods — tutorial slots will be indicated.,original
How do I know if my GE course has tutorials for my application?,Check NUSMods — tutorial slots will be indicated.,context_variation
Could you please tell me how do i know if my ge course has tutorials?,Check NUSMods — tutorial slots will be indicated.,context_variation
How can I know if my GE course has tutorials?,Check NUSMods — tutorial slots will be indicated.,reformulation
Can I take extra GE courses after fulfilling GE requirements?,Yes. Excess GE courses can be counted toward your Unrestricted Elective requirements.,original
I would like to know can i take extra ge courses after fulfilling ge requirements?,Yes. Excess GE courses can be counted toward your Unrestricted Elective requirements.,context_variation
What will an education at CDE entail?,"CDE gives you an interdisciplinary foundation via its common curriculum, then you specialize in a major, while unrestricted electives let you deepen or broaden your studies.",original
Could you please tell me what will an education at cde entail?,"CDE gives you an interdisciplinary foundation via its common curriculum, then you specialize in a major, while unrestricted electives let you deepen or broaden your studies.",context_variation
Can you help me understand what will an education at cde entail?,"CDE gives you an interdisciplinary foundation via its common curriculum, then you specialize in a major, while unrestricted electives let you deepen or broaden your studies.",context_variation
